date,timestamp,vm,attacker_ip,attempts
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,165.22.218.150,60
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,185.242.247.154,52
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,122.54.18.220,14
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,104.152.40.8,11
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,193.46.255.244,9
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,193.46.255.33,9
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,62.60.131.157,7
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,93.152.230.186,7
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,2.57.121.25,7
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,80.94.95.116,6
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,40.76.117.246,4
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,181.0.192.28,4
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,94.156.14.6,3
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,80.94.95.115,1
